"Scientific.Name","NAMES.FROM.FISHBASE","EXPERT.NAME","X","cat","dan","deu","ell","eng","fra","gla","gle","ita","nld","nno","nob","por","spa","sqi","swe","ces","cym","fin","hun","mkd","mlt","pol","ron","slv","srp","tur","bre","heb","nor","rus","ukr","ara","eus","hrv","lit","jpn","vie","isl","cos","glg","oci","sme","bul","slk","wol","NA","tah","afr","fij","kor","msa","sin","smo","som","tam","tgl","zho"
"Pecten jacobaeus","Jakobsmuscheln, Mittelmeer-Pilgermuschel, Pilgermuscheln",NA,"","petxina de pelegrí del Mediterrani",NA,"Jakobs-Pilgermuschel","Μεγάλο χτένι","St.James's scallop","coquille Saint Jacques de Méditerranée",NA,NA,"capa santa","Sint Jacobsschelp",NA,NA,NA,"concha de peregrino","dhambsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vieira do Mediterráneo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pholas dactylus","N/A",NA,"","fòlada","Daddelformet boremusling","Dattelmuschel","Δάκτυλο","Common Piddock","gite",NA,NA,"dattero bianco","gewone boormossel",NA,NA,NA,NA,"midhja shpuese","flerräfflad borrmussla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phycis blennoides","Gabeldorsch, Gro�er Gabeldorsch, Schleimfischartige Meertr�sche",NA,"Fish4life",NA,"Almindelig skælbrosme","Gabeldorsch",NA,"Beard","Capelan",NA,NA,"Musdea","Gaffelkabeljauw",NA,NA,"Abrotea","Alfaneca","Peshk-fik i bardhë","Fjällbrosme",NA,"Swtanod Barfog","Suomuturska",NA,NA,"Lipp","Bialy widlak",NA,NA,"Tabinja","Gelincik",NA,NA,"Skjellbrosme",NA,NA,NA,NA,NA,NA,NA,NA,"Litla brosma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinna nobilis","Edle, Edle Steckmuschel, Gro�e Steckmuschel, Schinkenmuschel",NA,"Fish4life","nacre",NA,"Edle","Πίνα","Pen Shell","Grande nacre, Jambonneau hérissé",NA,NA,"astura",NA,NA,NA,NA,"Nacra","midhja si pendë",NA,NA,NA,NA,NA,NA,NA,NA,NA,"leščur",NA,"Pina",NA,NA,NA,NA,"Пинна шляхетна",NA,NA,"Lostura","kilnioji pina",NA,NA,NA,"gnaccara",NA,NA,NA,"blаgorodnа pinа",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Platichthys flesus","Butt, Elbbutt, Flinder, Flinger, Flunder, Gemeine Flunder, Goldflunder, Graubutt, Sandbutt, Strombutt, Struffbutt, Struvbutt, Wattbutt, Weserbutt",NA,"Fish4life",NA,"Flynder","Butt",NA,"Butt","Flet",NA,"Leadhbhóg","Passera","Bot",NA,NA,"Petruca","Platija","Ushojze e zeze","Flundra","Platýz bradavicnatý","Lledod Mwd","Kampela",NA,NA,NA,"Stornia","Cambula","Iverka","Iverak","Bayağı pisi balığı",NA,NA,"Skrubbe",NA,NA,NA,NA,NA,NA,NA,NA,"Flundra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polyprion americanus","Atlantischer Wrackbarsch, Wrackbarsch, Wrackfisch",NA,"Fish4life",NA,"Atlantisk vragfisk","Atlantischer Wrackbarsch",NA,"Atlantic Wreckfish","Cernia",NA,NA,"Cernia di fondale","Wrakbaars",NA,NA,"Cherna","Bacalao","Kerr fundi","Vrakabborre",NA,"Pysgod Broc Môr","Hylkyahven",NA,NA,"Cerna","Wrakon",NA,"Globinska kirnja","Kirnja glavulja","Iskorpit hanisi",NA,NA,"Vrakfisk",NA,NA,NA,NA,NA,NA,NA,NA,"Blákarpi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pomatomus saltatrix","Blaubarsch, Blaufisch",NA,"Fish4life",NA,NA,"Blaufisch",NA,"Ancho","Coupe-fil",NA,NA,"Pesce serra","blauwe vis",NA,NA,"Anchova","Anchoa de Banco","Gofe","Teleskopabborre",NA,NA,"Sinikala",NA,NA,"Serra tas-snien","Tasergal","Lufar","Skakavka","Plitica","Lüfer",NA,NA,"Dyphavsabbor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudocaranx dentex","Zahn-Makrele",NA,"Fish4life",NA,NA,"Neuseeländische Stachelmakrele","Κοκκάλι","Araara","Carangue dentue",NA,NA,"Carango dentice",NA,NA,NA,"Xareu-bicudo","Jurel",NA,NA,NA,NA,NA,NA,NA,"Sawrella imperjala",NA,NA,NA,"Snjurak","kral balik",NA,"צנינית שיננית",NA,NA,NA,NA,NA,NA,NA,"シマアジ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruditapes decussatus","N/A",NA,"",NA,NA,"Gekreuzte Teppichmuschel","Αχιβάδα","Chequered carpet shell, Cross-cut carpet shell","Palourde européenne, Palourde commune",NA,NA,NA,"geruite tapijtschelp",NA,NA,"ameijoa","almeja fina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sarda sarda","Bonito, Pelamide, Unechter Bonito",NA,"Fish4life",NA,NA,"Atlantischer Pelamide","Koini","Atlantic Bonito","Bonite",NA,NA,"Bonnicou","Atlantische boniter",NA,NA,"Bonito","Bonito","Palamita Bianca",NA,NA,"Bonitoau",NA,NA,NA,"Palamit",NA,"Lacherda","Palamida","Palamida","Palammete cuvarita",NA,NA,NA,"Atlanticheskaya Pelamida",NA,"Balamit",NA,NA,NA,"Hagatsuo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
