"Scientific.Name","NAMES.FROM.FISHBASE","EXPERT.NAME","X","cat","dan","deu","ell","eng","fra","gla","gle","ita","nld","nno","nob","por","spa","sqi","swe","ces","cym","fin","hun","mkd","mlt","pol","ron","slv","srp","tur","bre","heb","nor","rus","ukr","ara","eus","hrv","lit","jpn","vie","isl","cos","glg","oci","sme","bul","slk","wol","NA","tah","afr","fij","kor","msa","sin","smo","som","tam","tgl","zho"
"Spisula subtruncata","Gedrungene Trogmuschel",NA,"",NA,"Almindelig trugmusling","Dreieckige Trogmuschel","Αχιβαδάκι","cut surfclam","douceron triangulaire",NA,NA,NA,"halfgeknotte strandschelp",NA,NA,NA,NA,NA,"mindre trågmussla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spondyliosoma cantharus","Seekarpfe, Seekarpfen, Streifenbrasse, Streifenbrassen",NA,"Fish4life",NA,"Almindelig havrude","Seekarpfe","Σκαθάρι","Black Sea-bream","Dorade grise",NA,NA,"Tanuta","Zeekarper","havkaruss","havkaruss","Choupa","Chopa","kantari","Havsruda",NA,"Merfogiaid Du","Meriruutana",NA,NA,"Kantaru","Kantar","Cantar","Kantar","Kantar","Sarigöz","lagadec","קנתר פסוס","Havkarudse","Карась-многозуб","Карась багатозубий",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sponylus gaederopus","N/A",NA,"","ostra vermella",NA,"Eselshuf","Γαϊδουροπόδαρο","European thorny oyster","pied d'ane",NA,NA,NA,NA,NA,NA,NA,"ostra roja","gurca me gjëmba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Squatina spp","N/A",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thais haemastoma","Purpurschnecke, Rotmund Maulbeere",NA,"",NA,NA,"Purpurschnecke","Πορφύρα","Florida Rocksnail","Pourpre bouche de sang",NA,NA,NA,NA,NA,NA,NA,NA,"kërmilli buzëkuq kokërrizor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thunnus alalunga","Germon, Langflossenthun, Thunfisch, Wei�er Thun",NA,"Fish4life","bacora",NA,"Langflossenthun","Μακρύπτερος τόννος","Albacore Tuna","germon",NA,NA,"alalunga Brauner","witte tonijn",NA,NA,"Albacora-branca","Atun Blanco",NA,"albakore",NA,"Tiwnaod Asgell-Hir","valkotonnikala",NA,NA,NA,"albakora",NA,"dolgoplavuti tun",NA,"beyaz orkinos","jermon","טונה אלבקור","albakor","Длинноперый тунец","альбакор",NA,"hegaluze",NA,"ilgapelekis tunas","ビンナガ",NA,NA,NA,"atún branco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tonna galea","Gro�e Fassschnecke, Gro�e Tonnenschnecke",NA,"",NA,NA,"Große Fassschnecke","Κοχύλα","Giant Tun","dólium geant",NA,NA,"elmo",NA,NA,NA,NA,"caracol tonel","kërmilli gaviç",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"スジウズラガイ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trachinotus ovatus","Bl�uel, Dreipunkt-Langflossen-Stachelmakrele, Palometa",NA,"Fish4life",NA,"Almindelig gaffelmakrel","Bläuel","Μαυρολίτσα","Derbio","Hirondelle",NA,NA,"Leccia stella","gaffelmakreel","gaffelmakrell","gaffelmakrell","Camochilo","Palometa blanca","Lojbe pikaloshe","Blå gaffelmakrill",NA,NA,NA,NA,NA,"Cervjola imperjali","Glalka",NA,"Pegasta lica","Lica modrulja","Yaladerma baligi",NA,"כחלון ים-תיכוני","Gaffelmakrell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trachurus picturatus","Blaue Bastardmakrele",NA,"Fish4life",NA,"bastardmakrele",NA,"Μαυροσαύριδο","Blue Scad","Chinchard Bleu",NA,NA,"sauru niru","blauwe horsmakreel",NA,NA,"Carapao-negrão","Chicharro","Stavridh kanali","saurel",NA,NA,NA,NA,NA,"Sawrella kahla","Ostrobok czarny",NA,NA,NA,"istavrit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uranoscopus scaber","Himmelsgucker, Sterngucker",NA,"Fish4life",NA,NA,NA,"Λύχνος","Atlantic Stargazer","Rascasse Blanche",NA,NA,"pesce prete","sterrenkijker",NA,NA,"Cabeçudo","Miracielo","Peshk çibuk",NA,NA,NA,NA,NA,NA,"Zondu","Skaber","Bou-de-mare","Zvezdogled",NA,"kurbaga baligi",NA,"אצטגנון ים-תיכוני",NA,"Звездочет обыкновенный","Зіркогляд звичайний",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Venerus spp","N/A",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xiphias gladius","Schwertfisch",NA,"Fish4life","emperador","Sværdfisk","Schwertfisch",NA,"Broadbill","Espadon","colgán","An colgán","Pegador","Zwaardvis",NA,NA,"Agulha","Aja para","Peshku shtize","Svärdfisk",NA,"Pysgod Cleddyf","Miekkakala",NA,NA,"Pixxispad","Wlócznik","Peste cu spada","Mečarica","Babljan","kilic baligi",NA,NA,"Sverdfisk","mech-ryba",NA,"Sangusu","ezpata-arrain",NA,"durklažuvė","Dakuda",NA,"Sverðfiskur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charonia tritonis","Tritonshorn",NA,"",NA,NA,"Echtes Tritonshorn",NA,"Atlantic Trumpet Triton","Toutoute",NA,NA,"tritone lucido",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ホラガイ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paracentrotus lividus","Steinseeigel",NA,"Fish4life","eriçó de roca",NA,"Steinseeigel","Κόκκινος αχινός","Rock Urchin","Oursin violet",NA,NA,"riccio di mare comune","rots zee egel",NA,NA,"ouriço verde","boga marina","ferrçori i purpër",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ježinac kamenjar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trachurus mediterraneus","Mittelmeer-Bastardmakrele, Mittelmeer-St�cker",NA,"Fish4life",NA,NA,"Mittelmeer Stöcker","Ασπροσαύριδο","Black Sea Horse Mackerel","Cagnassun de Paise",NA,NA,"Sugarello maggiore","Middellandse-Zeehorsmakreel",NA,NA,"Carapau-do-Mediterrâneo","Chicharro","Stavridh mesdhetar",NA,NA,NA,NA,NA,NA,"Sawrella","Ostrobok sródziemnomorski","Stavrid","Sredozemski šur","Sarun","Karagoz istavrit",NA,"טרכון ים-תיכוני",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scomber colias","Mittelmeermakrele",NA,"Fish4life",NA,NA,NA,NA,"Altantic Chub Mackerel","Maquereau espagnol, Maquereau blanc",NA,NA,NA,"Spaanse makreel",NA,NA,"Cavala","macarela estornino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cavalucciu, Tombulottu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sparus aurata","Dorade, Dorade Royal, Gemeine Goldbrasse, Goldbrasse, Goldkopf",NA,"Fish4life","daurada","Guldbrasen","Goldbrasse",NA,"Gilt-head Seabream","Daurade",NA,NA,"Orata","Goud brasem",NA,"gyllen havkaruss","Dourada","Chaparreta","Koce","Guldbraxen",NA,"Merfogiaid Eurben","Kultaotsa-ahven",NA,NA,"Awrata","Dorada","Dorada",NA,"Komarca","Cipura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dorata","dourada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trachurus trachurus ","Bastardmakrele, Holzmakrele, St�cker, St�ker",NA,"Fish4life",NA,"Almindelig hestemakrel","Atlantische Bastardmakrele",NA,"Atlantic Horse Mackerel","Bizet",NA,"An bolmán","Scombro bastardo","Atlantische horsmakreel",NA,NA,"Carapau","Chicharro","Stavrid","Taggmakrill",NA,"Marchfecryll","Piikkimakrilli",NA,NA,"Sawrella","Ostrobok pospolity","Stravrid mare","Sur","Sarun","Istavrit","chichard",NA,"Taggmakrell",NA,NA,NA,NA,NA,NA,NA,NA,"Brynstirtla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thunnus thynnus","Atlantischer Thunfisch, Blauflossen Thun, Gro�er Thun, Roter Thun, Thune, Thunfisch",NA,"Fish4life",NA,"Atlantisk tun","Atlantischer blauflossen Thun",NA,"Atlantic Bluefin Tuna","Thon rouge",NA,"An tuinnín","Musciame de tonno","Atlantische blauwvintonijn",NA,NA,"Atum","Atún","Toni","Makrillstörje",NA,"Tiwnaod","Tonnikala",NA,NA,"Tonn","Ton","Ton",NA,"Tun","Orkinos",NA,NA,"Makrellshørje",NA,NA,NA,NA,"Tunj",NA,"Kuromaguro",NA,"Túnfiskur",NA,"atún vermello",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xyrichtis novacula","Schermesserfisch",NA,"Fish4life",NA,NA,NA,"Κατσούλα","Cleaver Wrasse","Donzelle Lame",NA,NA,"Pesce pettine",NA,NA,NA,"Cão","Doncella","peshk krëhër",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarko crveni","ustura baligi",NA,"להבי ים-תיכוני",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scorpaena porcus","Brauner Drachenkopf, Kleine Meersau",NA,"Fish4life",NA,NA,"Kleiner Drachenkopf","Μαυροσκορπιός","Black Scorpionfish","Bouillabaisse",NA,NA,NA,"bruine schorpioenvis",NA,NA,"Rascasso-de-pintas","Cabracho","Shkerpi",NA,NA,NA,"Provenssilainen kalakeitto",NA,NA,"Skorfna",NA,"Scorpie-de-mare","Rjava škarpena",NA,"Iskorpit",NA,"עקרבנון קטן-קשקשים",NA,"Скорпена","Морський йорж чорноморський",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scorpaena scrofa","Gro�e Meersau, Gro�er Drachenkopf, Gro�er Roter Drachenkopf, Meersau, Roter Drachenkopf",NA,"Fish4life",NA,NA,"Großer Drachenkopf","Σκορπίνα","Large-scaled Scorpionfish","Chapon",NA,NA,"scorfano rosso","oranje schorpioenvis",NA,NA,"Rascasso-vermelho","Cabracho","Shkerp i kuq","havssugga",NA,"Pysgod Dreiniog",NA,NA,NA,"Cippullazza","Skorpena",NA,"Velika škarpena",NA,"Lipsoz",NA,"עקרבנון מדובלל",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conger conger","Conger, Congeraal, Gemeiner Meeraal, Meeraal",NA,"Fish4life",NA,"Almindelig havål","Conger","Dogros","Conger","Anguille de Mer",NA,"An eascann choncair","Arunco","Congeraal",NA,NA,"Congro","Congre Safio","Ngjale deti e baleareve","Havsål",NA,"Congrod","Meriankerias",NA,NA,"Gringu","Konger",NA,NA,NA,"Mieze alica",NA,NA,"Havål",NA,NA,"Grango",NA,"Grug",NA,NA,NA,"Hafáll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trachinus draco","Gew�hnliches Peterm�nnchen, Gro�es Peterm�nnchen, Peterm�nnchen, Stachelfisch",NA,"Fish4life","aranya blanca","Almindelig fjæsing","Großes Petermännchen","drákena","Greater Weever","Grande vive",NA,NA,"Tracina drago","Grote pieterman","eiterfisk","fjersing","Peixe-aranha","Araña","Dreq deti","Fjärsing",NA,"Môr-Wiberod Mawr","Louhikala",NA,NA,"Sawt","Ostrosz drakon","Drac-de-mare","Morski pajek","Pauk bijeli","Trakonya","beverez vras",NA,"Fjesing",NA,NA,NA,NA,NA,NA,NA,NA,"Fjörsungur",NA,NA,NA,NA,"morski drakon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lophius piscatorius","Angler, Froschfisch, Seeteufel",NA,"Fish4life","granota de mar","Almindelig havtaske","Anglerfisch",NA,"Angler","Baudroie commune",NA,"An láimhíneach","Martino","Hozemond","breiflabb","breiflabb","Tamboril","Rape","Henez deti","Marulk","das mořský","Cythreuliaid y Môr","Merikrotti",NA,NA,"Petrica",NA,"Peste pescar","Morska žaba","Grdobina","Fener baligi","marache",NA,"Breiflabb",NA,NA,NA,NA,NA,NA,NA,NA,"Skötuselur",NA,NA,NA,"duorši",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lophius budegassa","Kleiner Seeteufel",NA,"Fish4life","rap fotaire","Sort havtaske","schwarze Seeteufel","Μαύρη πεσκαντρίτσα","Black-bellied angler","Baudroie",NA,NA,"budego","Grijze zeeduivel","svartflabb","svartflabb","Tamboril-preto","Rape negro","Henez deti e verdhe","mindre marulk",NA,NA,NA,NA,NA,"Petrica","Zabnica afrykanska",NA,"Mala morska žaba",NA,"fener baligi",NA,"חכאי כוכבני",NA,"Чернобрюхий удильщик","Вудильник чорночеревний",NA,"zapo beltza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lichia amia","Gabelmakrele, Lichia, Gro�e Gabelmakrele, Gro�e gabelmakrele, Stachelmakrele ",NA,"Fish4life",NA,NA,"Gabelmakrele","Λίτσα","Leerfish","Caranga",NA,NA,"Cerviola","leervis",NA,NA,"Chambré","Colomida","Lojba",NA,NA,NA,NA,NA,NA,"Cervjola","Amia",NA,"Lica","Bilizma bjelica","Akya baligi",NA,"אמית ארין",NA,"Лихия","Ліхія",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serranus scriba","Schriftbarsch",NA,"Fish4life",NA,NA,"Schriftbarsch","Πέρκα","Painted comber","Perche",NA,NA,"Sciarrano","schrifttandbaars",NA,NA,"Serrano-riscado","Serrano","Kerr bilbil",NA,NA,NA,NA,NA,NA,"Burqax","Strzepiel pisarz",NA,"Pisanica",NA,"cizgili hani",NA,"אוקונוס מסורטט",NA,"Окунь каменный зебра","Кам'яний окунь зебра",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serranus cabrilla","Blutstriemen, S�gebarsch, Schriftbarsch, Ziegenbarsch",NA,"Fish4life",NA,NA,"Schriftbarsch","Χάνος","Comber","Bar",NA,NA,"sciarrano","kammer",NA,NA,"Alecrim","Bar D' Amerique","Kerr i thellesise","Större medel-havsabborre",NA,NA,"Pastelliahven",NA,NA,"Kanna","Kabryl",NA,"Kanjec","Kanjac","Asil hani",NA,"אוקונוס פסוס","Abborrkilling","Окунь каменный ханос","Кам'яний окунь ханос",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sciaena umbra","Meerrabe, Seerabe",NA,"Fish4life",NA,NA,"Seebarsch","Skaros","Brown Meagre","Corb Commun",NA,NA,"Acula","zeeraaf",NA,NA,"Roncadeira","Corvallo","Korb i zi","Korpfisk",NA,NA,NA,NA,NA,"Gharab","Kulbak czarny","Corb-de-mare","Konj",NA,"Eşkine baliği",NA,NA,NA,"Teleskop-kardinalfisk",NA,"Ghourâb",NA,"Konj",NA,NA,NA,NA,"Crou, Guardia secca",NA,"Pei coua, Peï-qua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Octopus vulgaris","Gemeiner krake, Gew�ohnlicher krake, Krake, Pulpo",NA,"Fish4life","pop roquer","Almindelig ottearmet blæksprutte","Gemeiner Krake","Χταπόδι","Common Octopus","Pieuvre commune, Poulpe commun, Chatrou commun",NA,NA,"polpo comune","achtarm",NA,NA,"Polvo-comum","pulpo","likurishtja","attaarmade bläckfiskar","chobotnice pobřežní",NA,"meritursas",NA,NA,NA,"ośmiornica zwyczajna",NA,NA,NA,NA,NA,NA,NA,"obiknovenniy osminog",NA,NA,NA,NA,NA,"ma-dako tako",NA,NA,NA,"polvo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coryphaena hippurus","Gemeine Goldmakrele, Goldmakrele",NA,"Fish4life",NA,"Guldmakrel","Goldmakrele","Kynigos","Common Dolphifish","Clic",NA,NA,"Capone","Dolfijnvis",NA,NA,"Dalfinho","Dorado","Korifene","Guldmakrill",NA,NA,"Dolfiini",NA,NA,"Lampuka","Koryfena","Corifena","Delfinka","Lampuga","Yaladerma baliği",NA,NA,"Gullmakrell",NA,NA,"Anfalous",NA,NA,NA,"Shibr","Cá duo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Penaeus Kerathurus","Furchenkrebs",NA,"Fish4life",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fistularia commersonii ","Fl�tenfisch",NA,"Fish4life",NA,"Commersons Tobakspibefisk","Flötenfisch","Φλογέρα","Cornetfish, Bluespotted cornetfish","Cornette à taches bleues",NA,NA,NA,NA,NA,NA,"Corneta Pintada","Corneta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"comak baligi",NA,"חלילון חלק",NA,NA,NA,"Bambo",NA,NA,NA,"Aka-yagara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'aupapa","Gladde Fluitbek","Baba","홍대치","Jenjulung","Malava","Taotao","Bustooni","Kovinchi","Droal","扁烟管鱼"
"Pterois miles ","Rotfeuerfisch",NA,"Fish4life",NA,NA,NA,NA,"Indian Turkeyfish","Poisson Scorpion",NA,NA,NA,NA,NA,NA,"Peixe-fogo Diabo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"זהרון",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parupeneus forsskali ","Rotmeer-Barbe",NA,"Fish4life",NA,NA,NA,NA,"Dash-and-dot Goatfish","Capucin à bande noire, Rouget-barbet à bande noire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphyraena chrysotaenia ","Stumpfer Barrakuda",NA,"Fish4life",NA,NA,NA,"Κουτσομουρόλουτσος","Yellowstripe barracuda","Becune obtuse",NA,NA,NA,NA,NA,NA,"Bicuda-amarela","Picuda obtusa",NA,NA,NA,NA,NA,NA,NA,"Lizz ta' lvant",NA,NA,NA,NA,"turna baligi iskamroz",NA,"אספירנה מליטה",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hemiramphus far ","Gefleckter Halbschn�bler, Halbschn�bler",NA,"Fish4life",NA,NA,NA,"Μισόραμφος","Black-barred halfbeak","Aiguillette, Demi-bec à taches noires",NA,NA,NA,NA,NA,NA,NA,"Agujeta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ibikli comak baligi",NA,"חדלסת הכתמים",NA,NA,NA,NA,NA,NA,NA,"ホシザヨリ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saurida lessepsianus","N/A",NA,"Fish4life",NA,NA,NA,NA,"Lizardfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephanolepis diaspros ","Feilenfisch",NA,"Fish4life",NA,NA,NA,"Μονόχειρος","Reticulated Leatherjacket","Bourse Garnale",NA,NA,NA,NA,NA,NA,NA,"Ballesta reticulada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dikenli cutre",NA,"זיפיון מחוספס",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sargocentron rubrum ","Gestreifter Soldatenfisch",NA,"Fish4life",NA,NA,NA,"Ακανθόπερκα","Red Soldierfish","Holocentre rouge",NA,NA,NA,NA,NA,NA,"Esquilo-vermelho","Candil Rubio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hindistan baligi",NA,"ברקן אדום",NA,NA,NA,NA,NA,NA,NA,"アヤメエビス",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Planiliza haematocheilus","N/A",NA,"Fish4life",NA,NA,NA,NA,"Haarder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cin kefali",NA,NA,NA,"Пиленгас","Піленгас",NA,NA,NA,NA,"メナダ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atherinomorus forskalii ","N/A",NA,"Fish4life",NA,NA,NA,NA,"Red Sea hardyhead silverside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scarus ghobban ","N/A",NA,"Fish4life",NA,NA,NA,NA,"Blue Trim Parrotfish","Kakatoi Blanc",NA,NA,NA,NA,NA,NA,"Nyabugui Senene","Loro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"תוכינון",NA,NA,NA,NA,NA,NA,NA,"Hibudai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uhu ao (Iles Sous le Vent), uhu homohomo (adulte phase terminale), uhu kukina (adulte phase initiale)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scomberomorus commerson","Indische K�nigsmakrele, Spanische Makrele",NA,"Fish4life",NA,NA,NA,"Ταινιοπαλαμίδα","Narrow-barred Spanish mackerel","Gros prêtre",NA,NA,NA,NA,NA,NA,"Serra-tigre","Carita del Indo-Pacifico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"palamut kolyozu",NA,"סקומברן זריז",NA,NA,NA,NA,NA,NA,NA,"Yokoshima-sawara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upeneus pori ","N/A",NA,"Fish4life",NA,NA,NA,"Κατσικόψαρο","Por's Goatfish","Barbet à Queue Rayée",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pasa barbunu",NA,"אופון חום-פס",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alepes djedaba","N/A",NA,"Fish4life",NA,NA,NA,"Γυμνοκοκκάλι","Banded Scad","Selar subari",NA,NA,NA,NA,NA,NA,"Xareu-rei","Jurel Subarí",NA,NA,NA,NA,NA,NA,NA,"Sawrella imperjali catta","Alepa zlotopletwa",NA,NA,NA,"catal baligi",NA,"צנינון דו-ימי",NA,NA,NA,"Bayad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lagocephalus sceleratus","N/A",NA,"Fish4life",NA,NA,NA,"Ασημένιος λαγοκέφαλος","Silver-cheeked toadfish","Ballon scélérat, Ballon à bande argentée",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"לגינון",NA,NA,NA,NA,NA,NA,NA,"センニンフグ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
