"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","class","acceptedUsageKey","synonym","verbatim_name","verbatim_index"
2221606,"Palinurus elephas (Fabricius, 1787)","Palinurus elephas","SPECIES","ACCEPTED",99,"EXACT","Animalia","Arthropoda","Decapoda","Palinuridae","Palinurus","Palinurus elephas",1,54,229,637,4535,2221602,2221606,"Malacostraca",NA,NA,"Palinurus elephas",63
2223527,"Parapenaeus longirostris (Lucas, 1846)","Parapenaeus longirostris","SPECIES","ACCEPTED",99,"EXACT","Animalia","Arthropoda","Decapoda","Penaeidae","Parapenaeus","Parapenaeus longirostris",1,54,229,637,4551,2223525,2223527,"Malacostraca",NA,NA,"Parapenaeus longirostris",64
4374181,"Pecten jacobaeus (Linnaeus, 1758)","Pecten jacobaeus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Pectinida","Pectinidae","Pecten","Pecten jacobaeus",1,52,137,9250425,3472,7976769,4374181,"Bivalvia",NA,NA,"Pecten jacobaeus",65
2288792,"Pholas dactylus Linnaeus, 1758","Pholas dactylus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Myida","Pholadidae","Pholas","Pholas dactylus",1,52,137,9241244,3477,2288791,2288792,"Bivalvia",NA,NA,"Pholas dactylus",66
5214919,"Phycis blennoides (Brünnich, 1768)","Phycis blennoides","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Gadiformes","Phycidae","Phycis","Phycis blennoides",1,44,NA,549,7665,7704239,5214919,NA,NA,NA,"Phycis blennoides",67
4374731,"Pinna nobilis Linnaeus, 1758","Pinna nobilis","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Ostreida","Pinnidae","Pinna","Pinna nobilis",1,52,137,9485611,6862,2285348,4374731,"Bivalvia",NA,NA,"Pinna nobilis",68
2409330,"Platichthys flesus (Linnaeus, 1758)","Platichthys flesus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys flesus",1,44,NA,588,8611,2409326,2409330,NA,NA,NA,"Platichthys flesus",69
5211265,"Polyprion americanus (Bloch & Schneider, 1801)","Polyprion americanus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Polyprionidae","Polyprion","Polyprion americanus",1,44,NA,587,4497,3237984,5211265,NA,NA,NA,"Polyprion americanus",70
5208090,"Pomatomus saltatrix (Linnaeus, 1766)","Pomatomus saltatrix","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Pomatomidae","Pomatomus","Pomatomus saltatrix",1,44,NA,587,6193,2369654,5208090,NA,NA,NA,"Pomatomus saltatrix",71
2391175,"Pseudocaranx dentex (Bloch & Schneider, 1801)","Pseudocaranx dentex","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Carangidae","Pseudocaranx","Pseudocaranx dentex",1,44,NA,587,4253,2391169,2391175,NA,NA,NA,"Pseudocaranx dentex",72
4372687,"Ruditapes decussatus (Linnaeus, 1758)","Ruditapes decussatus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Venerida","Veneridae","Ruditapes","Ruditapes decussatus",1,52,137,9310756,3445,2287625,4372687,"Bivalvia",NA,NA,"Ruditapes decussatus",73
5208593,"Sarda sarda (Bloch, 1793)","Sarda sarda","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Scombridae","Sarda","Sarda sarda",1,44,NA,587,8596,2374344,5208593,NA,NA,NA,"Sarda sarda",74
2413224,"Sardina pilchardus (Walbaum, 1792)","Sardina pilchardus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Clupeiformes","Clupeidae","Sardina","Sardina pilchardus",1,44,NA,538,7332,2413223,2413224,NA,NA,NA,"Sardina pilchardus",75
2412864,"Sardinella aurita Valenciennes, 1847","Sardinella aurita","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Clupeiformes","Clupeidae","Sardinella","Sardinella aurita",1,44,NA,538,7332,2387162,2412864,NA,NA,NA,"Sardinella aurita",76
2412854,"Sardinella maderensis (Lowe, 1838)","Sardinella maderensis","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Clupeiformes","Clupeidae","Sardinella","Sardinella maderensis",1,44,NA,538,7332,2387162,2412854,NA,NA,NA,"Sardinella maderensis",77
2392628,"Sarpa salpa (Linnaeus, 1758)","Sarpa salpa","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Sarpa","Sarpa salpa",1,44,NA,587,5068,2392627,2392628,NA,NA,NA,"Sarpa salpa",78
7599552,"Scomber japonicus Houttuyn, 1782","Scomber japonicus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Scombridae","Scomber","Scomber japonicus",1,44,NA,587,8596,2374148,7599552,NA,NA,NA,"Scomber japonicus",79
2374149,"Scomber scombrus Linnaeus, 1758","Scomber scombrus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Scombridae","Scomber","Scomber scombrus",1,44,NA,587,8596,2374148,2374149,NA,NA,NA,"Scomber scombrus",80
2409418,"Scophthalmus maximus (Linnaeus, 1758)","Scophthalmus maximus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus maximus",1,44,NA,588,5085,2409400,2409418,NA,NA,NA,"Scophthalmus maximus",81
2221735,"Scyllarides latus (Latreille, 1803)","Scyllarides latus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Arthropoda","Decapoda","Scyllaridae","Scyllarides","Scyllarides latus",1,54,229,637,9685,2221726,2221735,"Malacostraca",NA,NA,"Scyllarides latus",82
2290849,"Sepia officinalis Linnaeus, 1758","Sepia officinalis","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Sepiida","Sepiidae","Sepia","Sepia officinalis",1,52,136,989,6832,2289099,2290849,"Cephalopoda",NA,NA,"Sepia officinalis",83
5961696,"Seriola dumerili (Risso, 1810)","Seriola dumerili","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Carangidae","Seriola","Seriola dumerili",1,44,NA,587,4253,3235319,5961696,NA,NA,NA,"Seriola dumerili",84
